bcorporation
Curaty Limited
Oracall Ltd
Systems & Smiles
Sijo
HYDRO WARE SRL SB
Duncan Lake Speech Therapy LLC
Dream Impact HK Ltd.
Cleancorp
BMG Consulting srl
Blooming Buildings
Holistic Spirits Company
Exxeta AG
EMAPTA
4c s.r.l.
The Momentum Group (NW) Ltd
Exen Legal Solutions Limited (Trading as Katchr)
CLASS EARTH
Acrylicize
Zedify
tepeo ltd
Osborne Pike Ltd
Dr Organic
Allibert Trekking
GARZINI
Forward Global
Optix Solutions
Kore Global
Gü Indulgent Foods
AgriSea NZ Seaweed Ltd
Wooden Spoon
The Peloton
Otrium
Artisan Drinks
Saludsa
Maxilia Holding B.V.
i2i Recruitment Consultancy
Hambleton Bakery
Good Design Australia
blackship srl Società Benefit
Australian Pharmacy Group Pty Ltd
Primal Soles
HealthPRO Canada
Audrey Wiggin Associates
Another Country
Vogel's Holding BV
The Tourism Space
Terres d'Aventure
Oenopole
Lasting Legal | Utrecht
Few and Far Ltd
Energía Real
Far More
Naïve
ESG Institute
Enfuse Group
Cícero Comunicación
Cameler Spice Co.
BAD STAR Studios
Videns
United Repair Centre
Pristine Washroom & Laundry Services
Phat Retail Limited
ICM opleidingen & trainingen
High-Rise Communications
Elicit Plant
Cavell Leitch Limited
Redway HR Ltd
James O'Halloran — (Sweet.Work Ltd)
Grupo Agroponiente
CAPSUM
Vier für Texas GmbH & Co. KG
Verdeagua
SUPERBOL S.R.L.
Sanature
Altius Real Estate Ltd
Altamira Instituto Médico
Abode
The Independent Adventure Group
MKTG SRL
Yes! We Connect
TSH Group Holding B.V.
The Kind Brand Company
Signature Market
Signal Operations
McBryde & Co
Just Enough Brave
Econet A/S
Computeam Ltd
Acne Studios AB
Yroli
Watermark Coffee
Moo and Yoo
Climbing District
Bramley Products Ltd
Aspiration
Wightman & Parrish
"Humango Solutions, LLC"
Finca SARL
char.gy
Bridge Gestão Social
Urbidermis
New Dawn Resources Ltd
Monsieur TSHIRT
Mando Group
Heroyam
GSF
ESGVALUE SAS BIC
Sun Mobi
Lavigne Lonsdale Ltd
Health and Happiness Group
Brinkworth
Restaurant Beatrice
Apprilis Ltd
Opella Central & Eastern Europe
IMPULSE CONSEIL
Mys Asset Management
Mighty Citizen
Cow & Sow (Bristol) Limited
Airington Law
Trampoline Creative Inc
Sapphire Holidays
Endorphin Dealers LTD
Corporacion Ottaner S.A.C.
BeSost Consultoría de Sostenibilidad SL
Anumana
Altai France
The East Inc.
Mills
Lil Creative Studio
Laura Holmes Production Ltd
LAGAR H Agroindústria
Edelman B.V.
"Chengyo Energy CO., LTD."
Brittain Wynyard & Co Ltd
&Tradition
The First Impression Group B.V.
Zoonou Limited
Seabass Sustainable Fashion Coöperatie U.A
Olistic Research Lab
MV Design
Lonsdale
LG2
Danone Southern Africa
CORIPA S.A.
Clarity People Ltd
Charlotte Findlater Limited
Arveco b.v.
ADAPTOVATE
Sustainable Packaging Industries LLC
Renfold Limited
Piercing Sun Consulting
OPTIMA SRL SOCIETA' BENEFIT
Mica Janiv
Massage Therapy Supply Outlet Ltd.
La Rosée
Ortolan Pty Ltd
HNH SRL
Enveng Group
Amatis Training
島內散步旅行社 Walk in Taiwan
Women In Tech SEO Ltd
RightSec
OnwardUP Sales and Marketing Ltd
Hyphen Marketing Design Inc. T/A Hyphen Co.
Hey Holy GmbH
Ballad Group
Arpe
Ampersand Inc
VALUE BOOKS Inc.
Odyssey Social Care Limited
Clever Ghost
Canopy Media Management Ltd
BARJANE International Group Limited
Active Apparel Group (AAG HoldCo Pty Ltd)
LACICLA
Helico Studio
"Bonduelle France (Bell & Fresh), Spain, Portugal, Denmark, Belgium, Netherlands, and Champiland"
A Clean Spirit
"Xiamen BeWave Sustainable Trading Co., Ltd."
Luxexpo The Box
Drs Leenarts
Capsule Communications
Boombrush
Bonduelle Germany
Oliehoorn BV
Not So Creative
Hatmill Ltd
ERGY
Cotswold Lakes Brew Co.
Brave Human Capital Group
Victor Paullier & Cia Sociedad de Bolsa SA BIC
No Fairytales
ECOstyle Holding B.V.
ecoDynamics Group
Altitude Design Ltd
three rocks Ltd
Heavenly Necklaces
Gerald Edelman
etic.a Srl
Charity People
Cavalca Linea Ufficio S.r.l. Società Benefit
Bogoods
Atlas Reizen
ARTEMERA
Jervis Bay Brewing Company
Isla Health
Mifuko
Leev.nu BV
HOOMIZ
Ecoagricola Café
40c Consultores
Untamed
Strengthscope Limited
Peak Compliance S.r.l. Società Benefit
OMI Architects
Natures Journey Ltd
Mosaic - The Conscience Marketing Agency
Macfarlane + Assocs ltd
Farrow & Ball Ltd
Blooloop Limited
Bergmeyer
3 Apitos
Selency
Royal Goedewaagen
Pathfinder FX
Liz Earle Beauty Co Ltd
Inclusion Factory
Il Rastrello SRL
Hunter Selection Limited
Hundred Studio
Grub Club Pets
Frobishers Juices Limited
Drinksology Kirker Greer
Corporate Good
Allo Simonne Inc
AKCAKAYA GROUP TEKSTIL A.S.
UBDS Group Holdings Ltd
The Stitch Writer
Shielded Beauty
FSC Group Ltd
Fabric KK
BearingPoint
"ARCH co.,LTD"
Real Time Management
Nijhuis Saur Industries UK & Ireland Ltd.
CARBONO3 LLC
Big and Bold Ltd.
TellJO
Firefish Ltd
Mont58 Limited
Involve Asia Technologies Sdn Bhd
Ink
Helios Energia SA ESP
Floom Creative
Rogerwilco Digital
Nats Rawline
Insight Energy Renewables Ltd
FundSource26 Inc.
Fuelled Group Ltd
Fruselva
Etch (UK) Limited
Africa Practice Limited
Vintage Roots Ltd
Sarah Raven's Kitchen and Garden Limited
Mollie's Motels Limited
Granular Energy
Educapital
AiCARR Educational Srl
Wild Frontiers
Roncadin SpA sb
Re.green
Nor-Feed
Midnight
Into Right Relationship
Etyo
DESKEO - SPACE MANAGEMENT
Centrale Danone - Maroc
Social Pantry
Purpose Social Homes Limited
One Aldwych
OFICINA MUDA
office42 architecture
Manea Kella Ltd
Giraffe Digital
Flip Chips
Cosucra Groupe Warcoing
Brave & Heart
BC BONCAR SRL SOCIETA' BENEFIT
Allday Goods
Semper Hopkins Upholstery and Interiors ltd
Kindred CSR
WorkWild Limited
TOTEME AB
The Gem Group Inc (dba Gemline)
JANDO
Good Green Money Ltd
Cultures Gen V inc.
Conversio
Clarity Global
Castelli Milano 1938 Limited
Wood Thilsted Ltd
Swole Panda Limited
SustainabilityWorks
Mimeisa Asset Management
Intent Health
HASA OPTIX
Blue Sky Botanics Ltd
Wicklow Wolf
Oktra
Mischievous Wolf
Futures Supplies
Fairfax and Favor
Blush Design Agency
BLUE5PL MEXICO
SOMA Public Relations
PROMETHEUS
CO.CO Kids Re Store
Adel & Link GmbH & Co. KG
Springbok Group BV
incognito
GH Connective
Dashel Helmets Limited
Magnitude of Change
A-dam Underwear B.V.
Nabs and Babs
Kabane Agence de marques inc.
Sol Haus Design LLC
Épicerie LOCO
BELGA SOLAR
Six
De Groene Afslag Holding B.V.
Bioconstrucción y Energía Alternativa
Barr Gazetas
The Keyholding Company
Gruppo YEC
ecolytiq GmbH
Decarbonology
